enso_index,action_WWV,action_NPMM,action_SPMM,action_IOB,action_IOD,action_SIOD,action_TNA,action_ATL3,action_SASD,state_Nino34,state_WWV,state_NPMM,state_SPMM,state_IOB,state_IOD,state_SIOD,state_TNA,state_ATL3,state_SASD
-0.85516375,-0.6633535,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.92144775,-0.85516375,-9.377344,-0.4902393,0.12726313,0.14682119,-0.5360151,-0.3325862,0.41652146,1.1573933,-0.98108876
-0.8864831,-0.63968813,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.9142771,-0.8864831,-8.805499,-0.5940126,0.21199293,0.2006746,-0.59995687,-0.33307827,0.46643567,1.1700109,-1.0126255
-1.007676,-0.57626754,-1.0,0.931285,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.007676,-9.367037,-0.80814475,0.2336731,0.14481725,-0.7248936,-0.38476747,0.41862684,1.0633663,-0.76168716
-1.2660252,-0.6692979,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.2660252,-11.782665,-0.8176719,0.17546606,0.20723747,-0.73599494,-0.6280453,0.5137857,1.061213,-0.65071625
-1.557863,-0.7792033,-1.0,0.81168884,1.0,0.9766964,-1.0,1.0,1.0,-1.0,-1.557863,-12.314302,-0.76395065,-0.15613799,0.19189407,-0.6106401,-0.4930479,0.60193634,1.0151054,-0.24764034
-1.6966357,-1.0,-1.0,0.3629582,1.0,0.86778545,-1.0,1.0,1.0,-1.0,-1.6966357,-11.1151085,-0.8013999,0.05448064,0.14086658,-0.34933534,-0.4266091,0.55982405,0.9749974,-0.1999768
-1.4987661,-0.81062216,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.4987661,-14.374037,-0.8395119,0.01744589,0.22366396,0.16887079,-0.46044865,0.54073733,1.0233305,-0.49524733
-1.2321055,-0.715072,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.2321055,-15.863378,-0.7423506,-0.033211526,0.25762072,0.24342217,-0.56380606,0.4104362,0.8813827,-0.5038241
-1.2437907,-0.70633125,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.2437907,-14.200951,-0.75744975,-0.02409582,0.03242615,0.26508027,-0.563906,0.5505415,0.8602074,-0.7699755
-1.4348319,-0.7419355,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.4348319,-15.001721,-0.82563573,-0.17079338,-0.045388423,0.113275155,-0.45068017,0.5205733,0.91681874,-0.7766716
-1.5442891,-0.80941457,-1.0,0.52684414,1.0,0.68898255,-1.0,1.0,1.0,-1.0,-1.5442891,-11.908642,-0.8514704,-0.12532218,-0.036158696,-0.23115012,-0.5126677,0.6105099,0.7083784,-0.8410095
-1.555977,-0.75539607,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.555977,-14.483748,-0.7311001,-0.046466827,-0.022174168,-0.35826775,-0.7228137,0.73379785,0.9227874,-0.80566067
-1.5235392,-0.73317754,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.5235392,-13.708773,-0.70475537,-0.009409599,-0.015412046,-0.3189744,-0.7702417,0.5478007,0.96308297,-0.82986915
-1.4816976,-0.68647236,-1.0,0.37977722,1.0,0.5680635,-1.0,1.0,0.88053644,-1.0,-1.4816976,-11.379844,-0.77590233,0.06185452,0.05681947,-0.5228734,-0.8385789,0.4973274,0.8844184,-0.7546002
-1.4122301,-0.66407996,-1.0,0.6698189,1.0,0.7833822,-1.0,1.0,1.0,-1.0,-1.4122301,-12.309424,-0.7962198,0.044632226,0.0348461,-0.611691,-0.8503628,0.5473389,0.8298445,-0.4999689
-1.7078158,-0.66755277,-1.0,-0.2625296,1.0,-0.012164235,-1.0,1.0,-0.22776309,-1.0,-1.7078158,-11.609387,-0.8202519,0.022189748,-0.05701362,-0.66870594,-0.9900742,0.50384825,0.91510266,-0.25682986
-1.9435937,-0.65608066,-1.0,-0.7205466,1.0,-0.6107125,-1.0,0.76659614,-1.0,-1.0,-1.9435937,-11.433471,-0.8181175,-0.14884052,-0.09890199,-0.43191412,-1.1354804,0.5370187,0.9404829,-0.027745973
-1.8757803,-1.0,-1.0,-0.97973776,1.0,-0.712518,-1.0,0.9037401,-1.0,-1.0,-1.8757803,-8.655551,-0.77854127,-0.3087832,0.021272367,-0.33229345,-0.926737,0.52417654,0.85213065,0.26665333
-1.7259854,-0.9319895,-1.0,-1.0,1.0,-1.0,-1.0,0.59108174,-1.0,-1.0,-1.7259854,-7.0720673,-0.89991146,-0.36090142,0.09768646,-0.11204956,-0.6947356,0.5430899,0.5884909,0.4603379
-1.5568349,-0.80851907,-1.0,-0.96305275,1.0,-1.0,-1.0,0.62237805,-1.0,-1.0,-1.5568349,-8.384466,-0.98249435,-0.36388397,0.071603976,0.010702903,-0.7543687,0.3365187,0.3734525,0.267218
-1.5273627,-0.74976104,-1.0,-1.0,1.0,-1.0,-1.0,0.3583012,-1.0,-1.0,-1.5273627,-7.00217,-0.9662628,-0.44792905,-0.03900788,-0.0008046871,-0.56696486,0.09362426,0.6231163,0.07365464
-1.5711172,-0.6777531,-1.0,-1.0,1.0,-1.0,-1.0,0.38563025,-1.0,-1.0,-1.5711172,-7.829287,-1.0359957,-0.5091696,-0.18547009,-0.3081672,-0.6916024,0.2372266,0.5327216,-0.020764252
